Spotify URI,Song,Released,Days Since,Streams,Listeners,Saves,Save Ratio %,Radio Streams,Radio %,Playlist Adds,Source,Collected At
spotify:track:5mmJRT6XANlPyQzft9nVjV,I Thought I Saw Your Face Today - Chill House Version,"Mar 20, 2026",9,15317,11276,61,0.54,4756,—,88,S4A Internal API + Page,2026-03-29T08:06:53.945114
spotify:track:0WOxxYuoik6qdVPmtqQs6r,Love Me Not - Techno Version,"Feb 20, 2026",37,40162,25464,344,1.35,10149,—,357,S4A Internal API + Page,2026-03-29T08:07:10.340264
spotify:track:0RGEs9uGfc2cASqkkAt2XV,Locked out of Heaven,"Feb 13, 2026",44,26573,16347,177,1.08,1331,—,256,S4A Internal API + Page,2026-03-29T08:07:18.501714
spotify:track:5QN6nzZS1hWu5KrDfzJ0Lp,Love Me Not - Chill House Version,"Jan 29, 2026",59,17414,11386,951,8.35,1176,—,225,S4A Internal API + Page,2026-03-29T08:07:26.751273
spotify:track:06dSq3RGQlQtLr25mdMVSD,bittersweet - Deep House Version,"Mar 20, 2026",9,23864,18377,186,1.01,9971,—,160,S4A Internal API + Page,2026-03-29T08:07:34.254668
spotify:track:5YDfmAFASuMujMd579yHkP,Die With A Smile - Chill House Version,"Feb 20, 2026",37,48274,28883,582,2.02,15038,—,698,S4A Internal API + Page,2026-03-29T08:07:41.786376
spotify:track:0FpatFPelNwxfalFvAYo7H,Crazy - Chill House Version,"Feb 10, 2026",47,70146,35534,1482,4.17,10229,—,692,S4A Internal API + Page,2026-03-29T08:07:49.381504
spotify:track:7CpfiyNsKgVY4fFuPBhEkJ,Drag Path - Chill House Version,"Mar 20, 2026",9,30876,23909,176,0.74,20287,—,126,S4A Internal API + Page,2026-03-29T08:07:57.125375
spotify:track:23Y0c69v72q1f42wmj0Mq2,End of Beginning - Chill House Version,"Feb 13, 2026",44,41625,23083,446,1.93,5725,—,394,S4A Internal API + Page,2026-03-29T08:08:04.852222
spotify:track:5ueLsLkUvhDr7T6vqknK16,Stateside - Chill House Version,"Feb 8, 2026",49,15848,10431,118,1.13,1924,—,244,S4A Internal API + Page,2026-03-29T08:08:12.580287
spotify:track:4S1RJvngT8Ov10BJ5tSDmw,Gabriela - Chill House Version,"Feb 8, 2026",49,16713,10456,110,1.05,1897,—,263,S4A Internal API + Page,2026-03-29T08:08:20.214567
spotify:track:1YfajbEpliGeJT1AQLPZpg,I Wanna Be Yours - Chill House Version,"Feb 4, 2026",53,34367,19325,109,0.56,2345,—,276,S4A Internal API + Page,2026-03-29T08:08:28.283934
spotify:track:5aedYFfpPVgpPY4QZ22XZ5,Beggin - Deep House Version,"Mar 6, 2026",23,50349,31729,596,1.88,12445,—,398,S4A Internal API + Page,2026-03-29T08:08:35.718877
spotify:track:20dRA97czg2bgnF6MplsHh,back to friends - Chill House Version,"Jan 31, 2026",57,41376,22107,422,1.91,3622,—,472,S4A Internal API + Page,2026-03-29T08:08:43.335445
spotify:track:0cshPrTkGG3rhbOLDU2jXF,Lush Life - Chill House Version,"Jan 29, 2026",59,19375,12212,123,1.01,1812,—,285,S4A Internal API + Page,2026-03-29T08:08:50.935676
spotify:track:3k7hOTgiUzZW3TaPhNXAma,traitor - Chill House Version,"Mar 20, 2026",9,10670,7718,35,0.45,1980,—,77,S4A Internal API + Page,2026-03-29T08:08:58.663469
spotify:track:2ibr4uOcmnbchNJdbWWA8V,Man I Need - Chill House Version,"Feb 6, 2026",51,17752,11422,110,0.96,2263,—,273,S4A Internal API + Page,2026-03-29T08:09:06.304465
spotify:track:5rtDOzmrDty9Wil4hMrgRS,happier - Chill House Version,"Mar 20, 2026",9,12739,8420,32,0.38,956,—,76,S4A Internal API + Page,2026-03-29T08:09:13.803423
spotify:track:0zKNcOowtmpDg2DUfppcwm,Locked out of Heaven - Deep House Version,"Feb 1, 2026",56,65017,37308,321,0.86,2646,—,447,S4A Internal API + Page,2026-03-29T08:09:21.412593
spotify:track:18gpgL2j0BrG87w0ttW161,Glad You Came - Deep House Version,"Mar 6, 2026",23,106997,72235,1167,1.62,65986,—,606,S4A Internal API + Page,2026-03-29T08:09:28.473248
spotify:track:5mwU0MiaRGfxfq6senn93v,Creep - Chill House Version,"Feb 4, 2026",53,25659,14835,400,2.70,2195,—,327,S4A Internal API + Page,2026-03-29T08:09:36.323283
